,IDs,pos_depart,pos_arrivee,born_time
0,R0,MP33,MP5,13
1,R1,MP39,MP23,0
2,R2,MP35,MP22,11
3,R3,MP0,MP38,1
4,R4,MP26,MP48,6
5,R5,MP27,MP20,7
6,R6,MP3,MP48,15
7,R7,MP38,MP2,6
8,R8,MP13,MP9,19
9,R9,MP7,MP30,19
10,R10,MP24,MP44,10
11,R11,MP7,MP5,5
12,R12,MP49,MP40,16
13,R13,MP12,MP25,14
14,R14,MP37,MP41,13
15,R15,MP16,MP49,15
16,R16,MP9,MP37,2
17,R17,MP31,MP25,3
18,R18,MP32,MP10,9
19,R19,MP25,MP24,11
20,R20,MP22,MP35,16
21,R21,MP0,MP36,14
22,R22,MP32,MP31,18
23,R23,MP33,MP17,1
24,R24,MP17,MP18,11
25,R25,MP1,MP39,9
26,R26,MP3,MP6,10
27,R27,MP33,MP39,14
28,R28,MP21,MP23,18
29,R29,MP9,MP32,4
30,R30,MP10,MP20,0
31,R31,MP17,MP27,16
32,R32,MP22,MP21,1
33,R33,MP18,MP44,1
34,R34,MP12,MP19,16
35,R35,MP19,MP0,15
36,R36,MP0,MP1,9
37,R37,MP36,MP29,14
38,R38,MP38,MP8,19
39,R39,MP29,MP15,11
40,R40,MP46,MP3,14
41,R41,MP3,MP9,1
42,R42,MP10,MP4,6
43,R43,MP6,MP46,10
44,R44,MP29,MP22,3
45,R45,MP36,MP11,4
46,R46,MP44,MP49,17
47,R47,MP48,MP9,1
48,R48,MP33,MP35,11
49,R49,MP7,MP10,14
50,R50,MP14,MP21,10
51,R51,MP15,MP38,19
52,R52,MP5,MP2,13
53,R53,MP19,MP24,14
54,R54,MP3,MP38,12
55,R55,MP2,MP41,6
56,R56,MP44,MP4,15
57,R57,MP27,MP38,0
58,R58,MP14,MP26,0
59,R59,MP31,MP41,12
60,R60,MP44,MP26,1
61,R61,MP0,MP13,4
62,R62,MP21,MP44,7
63,R63,MP38,MP46,17
64,R64,MP31,MP6,7
65,R65,MP36,MP20,12
66,R66,MP4,MP42,5
67,R67,MP32,MP38,10
68,R68,MP26,MP23,7
69,R69,MP13,MP24,10
70,R70,MP40,MP14,7
71,R71,MP3,MP36,13
72,R72,MP13,MP45,10
73,R73,MP10,MP43,7
74,R74,MP37,MP24,2
75,R75,MP5,MP29,15
76,R76,MP10,MP2,7
77,R77,MP8,MP2,9
78,R78,MP27,MP13,8
79,R79,MP30,MP46,7
80,R80,MP13,MP41,9
81,R81,MP41,MP44,2
82,R82,MP14,MP48,16
83,R83,MP32,MP12,13
84,R84,MP34,MP40,4
85,R85,MP28,MP10,7
86,R86,MP10,MP24,16
87,R87,MP49,MP48,8
88,R88,MP18,MP2,15
89,R89,MP17,MP19,12
90,R90,MP1,MP42,3
91,R91,MP28,MP10,6
92,R92,MP24,MP48,9
93,R93,MP39,MP27,8
94,R94,MP25,MP39,12
95,R95,MP49,MP14,19
96,R96,MP17,MP28,15
97,R97,MP15,MP34,8
98,R98,MP33,MP12,4
99,R99,MP31,MP18,14
100,R100,MP29,MP26,12
101,R101,MP42,MP25,8
102,R102,MP19,MP31,10
103,R103,MP14,MP19,12
104,R104,MP16,MP28,16
105,R105,MP15,MP5,4
106,R106,MP7,MP49,11
107,R107,MP23,MP25,15
108,R108,MP29,MP12,10
109,R109,MP28,MP9,14
110,R110,MP25,MP5,3
111,R111,MP13,MP18,2
112,R112,MP45,MP12,16
113,R113,MP37,MP7,10
114,R114,MP28,MP46,11
115,R115,MP31,MP27,1
116,R116,MP34,MP7,0
117,R117,MP15,MP36,15
118,R118,MP20,MP22,19
119,R119,MP49,MP48,10
120,R120,MP39,MP26,2
121,R121,MP0,MP31,10
122,R122,MP34,MP36,9
123,R123,MP21,MP47,13
124,R124,MP1,MP31,8
125,R125,MP31,MP47,16
126,R126,MP35,MP13,14
127,R127,MP24,MP37,13
128,R128,MP6,MP7,15
129,R129,MP45,MP38,6
130,R130,MP33,MP41,10
131,R131,MP3,MP25,8
132,R132,MP11,MP12,16
133,R133,MP19,MP21,17
134,R134,MP14,MP47,10
135,R135,MP2,MP44,8
136,R136,MP34,MP21,17
137,R137,MP47,MP42,4
138,R138,MP6,MP33,5
139,R139,MP48,MP46,9
140,R140,MP6,MP18,7
141,R141,MP19,MP49,9
142,R142,MP42,MP33,5
143,R143,MP24,MP1,13
144,R144,MP14,MP2,14
145,R145,MP3,MP38,14
146,R146,MP16,MP20,18
147,R147,MP9,MP6,17
148,R148,MP29,MP38,0
149,R149,MP8,MP44,3
150,R150,MP42,MP6,2
151,R151,MP2,MP12,4
152,R152,MP26,MP44,4
153,R153,MP37,MP24,1
154,R154,MP49,MP10,15
155,R155,MP32,MP23,2
156,R156,MP37,MP26,12
157,R157,MP1,MP21,2
158,R158,MP9,MP36,4
159,R159,MP32,MP31,14
160,R160,MP33,MP13,8
161,R161,MP14,MP6,11
162,R162,MP30,MP6,2
163,R163,MP22,MP14,15
164,R164,MP45,MP15,14
165,R165,MP0,MP45,15
166,R166,MP6,MP46,12
167,R167,MP19,MP44,15
168,R168,MP20,MP35,5
169,R169,MP48,MP7,7
170,R170,MP46,MP9,14
171,R171,MP27,MP31,2
172,R172,MP26,MP37,19
173,R173,MP43,MP48,4
174,R174,MP21,MP23,19
175,R175,MP0,MP44,9
176,R176,MP33,MP35,4
177,R177,MP10,MP2,0
178,R178,MP2,MP29,16
179,R179,MP29,MP8,13
180,R180,MP36,MP38,12
181,R181,MP44,MP27,10
182,R182,MP17,MP24,19
183,R183,MP10,MP28,14
184,R184,MP30,MP25,17
185,R185,MP44,MP4,12
186,R186,MP12,MP5,3
187,R187,MP16,MP49,10
188,R188,MP44,MP16,2
189,R189,MP42,MP27,3
190,R190,MP13,MP4,12
191,R191,MP44,MP47,11
192,R192,MP32,MP21,4
193,R193,MP32,MP36,1
194,R194,MP46,MP18,1
195,R195,MP11,MP16,19
196,R196,MP21,MP46,2
197,R197,MP48,MP46,13
198,R198,MP38,MP37,6
199,R199,MP2,MP9,7
200,R200,MP41,MP36,6
201,R201,MP44,MP13,13
202,R202,MP17,MP28,16
203,R203,MP48,MP44,12
204,R204,MP6,MP20,10
205,R205,MP21,MP6,10
206,R206,MP35,MP7,0
207,R207,MP19,MP0,19
208,R208,MP45,MP22,14
209,R209,MP40,MP6,16
210,R210,MP49,MP13,15
211,R211,MP43,MP38,5
212,R212,MP49,MP37,6
213,R213,MP3,MP30,13
214,R214,MP26,MP36,13
215,R215,MP17,MP7,18
216,R216,MP44,MP22,1
217,R217,MP13,MP3,16
218,R218,MP29,MP44,16
219,R219,MP11,MP7,7
220,R220,MP41,MP11,7
221,R221,MP32,MP7,2
222,R222,MP27,MP18,4
223,R223,MP13,MP15,16
224,R224,MP34,MP25,7
225,R225,MP46,MP43,2
226,R226,MP31,MP16,5
227,R227,MP18,MP27,11
228,R228,MP32,MP24,14
229,R229,MP10,MP5,19
230,R230,MP40,MP2,11
231,R231,MP46,MP39,19
232,R232,MP5,MP48,8
233,R233,MP41,MP14,15
234,R234,MP3,MP49,6
235,R235,MP18,MP34,19
236,R236,MP3,MP40,7
237,R237,MP29,MP7,16
238,R238,MP26,MP11,8
239,R239,MP14,MP10,12
240,R240,MP32,MP1,8
241,R241,MP38,MP23,0
242,R242,MP10,MP46,0
243,R243,MP12,MP42,1
244,R244,MP45,MP23,15
245,R245,MP33,MP27,2
246,R246,MP15,MP22,14
247,R247,MP4,MP17,19
248,R248,MP17,MP27,19
249,R249,MP41,MP12,2
250,R250,MP9,MP43,4
251,R251,MP49,MP10,6
252,R252,MP27,MP37,18
253,R253,MP18,MP36,17
