,IDs,x_coord,y_coord
<<<<<<< HEAD
0,S0,5.855087945738871,0.5696023700035169
1,S1,6.331728298055999,1.6693441737092662
2,S2,4.7490753686117735,4.771474458120574
3,S3,1.3442157887127737,4.6924126163116275
4,S4,0.8075943415385767,1.0857346414753055
5,S5,1.2323879959843431,0.37387503997378335
6,S6,4.007561625685043,0.038726876110464215
7,S7,2.2398016598453516,7.603718697628961
8,S8,3.3135142135239173,3.3456021224930987
9,S9,9.516745919855754,9.521449484864425
=======
0,S0,5.9177230330373485,2.118697106534364
1,S1,9.152317899447041,1.6454816913548709
2,S2,6.713962723125726,6.271842432958073
3,S3,1.9449603744515653,6.540905619227308
4,S4,2.1126583216185804,5.115556325888812
5,S5,2.2782344989922576,7.080507356622581
6,S6,2.3670029623365774,3.250514385340094
7,S7,7.531460071397945,6.251498559512275
8,S8,9.677403444571826,7.7532374787721885
9,S9,4.993611255048639,1.9583903103915279
>>>>>>> c066006704c5584cdb3938155c41da0613a62bdc
