,name,type,x_coord,y_coord,time,means,served
0,R350,served rider,6.149882547156562,4.189243655818631,29.0,Foot,carpooling
1,R350,served rider,6.083283129211505,4.181912550264021,30.0,Foot,carpooling
2,R350,served rider,6.016683711266449,4.17458144470941,31.0,Foot,carpooling
3,R350,served rider,5.950084293321392,4.1672503391547995,32.0,Foot,carpooling
4,R350,served rider,5.883484875376335,4.159919233600189,33.0,Foot,carpooling
5,R350,served rider,5.816885457431279,4.152588128045578,34.0,Foot,carpooling
6,R350,served rider,5.750286039486222,4.145257022490968,35.0,Foot,carpooling
7,R350,served rider,5.683686621541166,4.137925916936358,36.0,Foot,carpooling
8,R350,served rider,5.6170872035961095,4.130594811381747,37.0,Foot,carpooling
9,R350,served rider,5.550487785651052,4.123263705827137,38.0,Foot,carpooling
10,R350,served rider,5.483888367705996,4.115932600272527,39.0,Foot,carpooling
11,R350,served rider,5.417288949760939,4.108601494717917,40.0,Foot,carpooling
12,R350,served rider,5.350689531815883,4.1012703891633056,41.0,Foot,carpooling
13,R350,served rider,5.2840901138708265,4.093939283608695,42.0,Foot,carpooling
14,R350,served rider,5.21749069592577,4.086608178054085,43.0,Foot,carpooling
15,R350,served rider,5.150891277980714,4.079277072499474,44.0,Foot,carpooling
16,R350,served rider,5.084291860035657,4.071945966944864,45.0,Foot,carpooling
17,R350,served rider,5.0176924420906,4.064614861390254,46.0,Foot,carpooling
18,R350,served rider,4.9510930241455435,4.057283755835643,47.0,Foot,carpooling
19,R350,served rider,4.884493606200487,4.049952650281033,48.0,Foot,carpooling
20,R350,served rider,4.9273309100386555,3.4543198441626513,49.0,Foot,carpooling
21,R350,served rider,4.970168213876825,2.8586870380442697,50.0,Foot,carpooling
22,R350,served rider,5.013005517714994,2.263054231925888,51.0,Foot,carpooling
23,R350,served rider,5.055842821553163,1.6674214258075066,52.0,Foot,carpooling
24,R350,served rider,5.009904874031129,1.6156819073265605,53.0,Foot,carpooling
25,R350,served rider,4.963966926509096,1.5639423888456143,54.0,Foot,carpooling
26,R350,served rider,4.918028978987063,1.5122028703646682,55.0,Foot,carpooling
27,R350,served rider,4.872091031465029,1.460463351883722,56.0,Foot,carpooling
28,R350,served rider,4.826153083942995,1.4087238334027758,57.0,Foot,carpooling
29,R350,served rider,4.780215136420962,1.3569843149218297,58.0,Foot,carpooling
30,R350,served rider,4.734277188898929,1.3052447964408835,59.0,Foot,carpooling
31,R782,served rider,0.6712441711959283,2.9136808257837323,35.0,Foot,
32,R782,served rider,0.6571840201986544,2.97893364408126,36.0,Foot,
33,R782,served rider,0.6431238692013805,3.0441864623787875,37.0,Foot,
34,R782,served rider,0.6290637182041067,3.109439280676315,38.0,Foot,
35,R782,served rider,0.6150035672068328,3.1746920989738423,39.0,Foot,
36,R782,served rider,0.600943416209559,3.23994491727137,40.0,Foot,
37,R782,served rider,0.5868832652122852,3.3051977355688975,41.0,Foot,
38,R782,served rider,0.5728231142150113,3.370450553866425,42.0,Foot,
39,R782,served rider,0.5587629632177374,3.4357033721639523,43.0,Foot,
40,R782,served rider,0.5447028122204636,3.50095619046148,44.0,Foot,
41,R782,served rider,0.5306426612231897,3.5662090087590075,45.0,Foot,
42,R782,served rider,0.5165825102259158,3.631461827056535,46.0,Foot,
43,R782,served rider,0.5025223592286421,3.6967146453540627,47.0,Foot,
44,R782,served rider,0.48846220823136816,3.7619674636515903,48.0,Foot,
45,R782,served rider,0.47440205723409434,3.827220281949118,49.0,Foot,
46,R782,served rider,0.4603419062368205,3.8924731002466455,50.0,Foot,
47,R782,served rider,0.4462817552395466,3.9577259185441727,51.0,Foot,
